# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: C:\Users\zzuo1\Documents\School\Build18 2022\fpga-pedal\Pedals_pins.csv
# Generated on: Sat Feb 12 21:39:13 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
LED[7],Output,PIN_L3,2,B2_N0,PIN_L3,2.5 V,,,,,
LED[6],Output,PIN_B1,1,B1_N0,PIN_B1,2.5 V,,,,,
LED[5],Output,PIN_F3,1,B1_N0,PIN_F3,2.5 V,,,,,
LED[4],Output,PIN_D1,1,B1_N0,PIN_D1,2.5 V,,,,,
LED[3],Output,PIN_A11,7,B7_N0,PIN_A11,2.5 V,,,,,
LED[2],Output,PIN_B13,7,B7_N0,PIN_B13,2.5 V,,,,,
LED[1],Output,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
LED[0],Output,PIN_A15,7,B7_N0,PIN_A15,2.5 V,,,,,
altera_reserved_tck,Input,,,,PIN_H3,,,,,,
altera_reserved_tdi,Input,,,,PIN_H4,,,,,,
altera_reserved_tdo,Output,,,,PIN_J4,,,,,,
altera_reserved_tms,Input,,,,PIN_J5,,,,,,
clk,Input,PIN_R8,3,B3_N0,PIN_R8,2.5 V,,,,,
cs,Output,PIN_A10,7,B7_N0,PIN_A10,2.5 V,,,,,
dac_cs_b,Output,PIN_A3,8,B8_N0,PIN_A3,2.5 V,,,,,
dac_sclk,Output,PIN_B3,8,B8_N0,PIN_B3,2.5 V,,,,,
din,Output,PIN_B10,7,B7_N0,PIN_B10,2.5 V,,,,,
dout,Input,PIN_A9,7,B7_N0,PIN_A9,2.5 V,,,,,
hc_toggle,Input,PIN_J14,5,B5_N0,PIN_J14,2.5 V,,,,,
ips_out,Output,PIN_D3,8,B8_N0,PIN_D3,2.5 V,,,,,
reset_n,Input,PIN_J15,5,B5_N0,PIN_J15,2.5 V,,,,,
sclk,Output,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
